36 4 36
32 33 34 35
0 32 100Gbps 1000ns 0.000000
1 32 100Gbps 1000ns 0.000000
2 32 100Gbps 1000ns 0.000000
3 32 100Gbps 1000ns 0.000000
4 32 100Gbps 1000ns 0.000000
5 32 100Gbps 1000ns 0.000000
6 32 100Gbps 1000ns 0.000000
7 32 100Gbps 1000ns 0.000000
8 32 100Gbps 1000ns 0.000000
9 32 100Gbps 1000ns 0.000000
10 32 100Gbps 1000ns 0.000000
11 32 100Gbps 1000ns 0.000000
12 32 100Gbps 1000ns 0.000000
13 32 100Gbps 1000ns 0.000000
14 32 100Gbps 1000ns 0.000000
15 32 100Gbps 1000ns 0.000000
16 33 100Gbps 1000ns 0.000000
17 33 100Gbps 1000ns 0.000000
18 33 100Gbps 1000ns 0.000000
19 33 100Gbps 1000ns 0.000000
20 33 100Gbps 1000ns 0.000000
21 33 100Gbps 1000ns 0.000000
22 33 100Gbps 1000ns 0.000000
23 33 100Gbps 1000ns 0.000000
24 33 100Gbps 1000ns 0.000000
25 33 100Gbps 1000ns 0.000000
26 33 100Gbps 1000ns 0.000000
27 33 100Gbps 1000ns 0.000000
28 33 100Gbps 1000ns 0.000000
29 33 100Gbps 1000ns 0.000000
30 33 100Gbps 1000ns 0.000000
31 33 100Gbps 1000ns 0.000000
32 34 100Gbps 1000ns 0.000000
32 35 100Gbps 1000ns 0.000000
33 34 100Gbps 1000ns 0.000000
33 35 100Gbps 1000ns 0.000000




First line: total node #, switch node #, link #
Second line: switch node IDs...
src0 dst0 rate delay error_rate
src1 dst1 rate delay error_rate
...
