68 4 68
64 65 66 67
0 64 100Gbps 1000ns 0.000000
1 64 100Gbps 1000ns 0.000000
2 64 100Gbps 1000ns 0.000000
3 64 100Gbps 1000ns 0.000000
4 64 100Gbps 1000ns 0.000000
5 64 100Gbps 1000ns 0.000000
6 64 100Gbps 1000ns 0.000000
7 64 100Gbps 1000ns 0.000000
8 64 100Gbps 1000ns 0.000000
9 64 100Gbps 1000ns 0.000000
10 64 100Gbps 1000ns 0.000000
11 64 100Gbps 1000ns 0.000000
12 64 100Gbps 1000ns 0.000000
13 64 100Gbps 1000ns 0.000000
14 64 100Gbps 1000ns 0.000000
15 64 100Gbps 1000ns 0.000000
16 65 100Gbps 1000ns 0.000000
17 65 100Gbps 1000ns 0.000000
18 65 100Gbps 1000ns 0.000000
19 65 100Gbps 1000ns 0.000000
20 65 100Gbps 1000ns 0.000000
21 65 100Gbps 1000ns 0.000000
22 65 100Gbps 1000ns 0.000000
23 65 100Gbps 1000ns 0.000000
24 65 100Gbps 1000ns 0.000000
25 65 100Gbps 1000ns 0.000000
26 65 100Gbps 1000ns 0.000000
27 65 100Gbps 1000ns 0.000000
28 65 100Gbps 1000ns 0.000000
29 65 100Gbps 1000ns 0.000000
30 65 100Gbps 1000ns 0.000000
31 65 100Gbps 1000ns 0.000000
32 66 100Gbps 1000ns 0.000000
33 66 100Gbps 1000ns 0.000000
34 66 100Gbps 1000ns 0.000000
35 66 100Gbps 1000ns 0.000000
36 66 100Gbps 1000ns 0.000000
37 66 100Gbps 1000ns 0.000000
38 66 100Gbps 1000ns 0.000000
39 66 100Gbps 1000ns 0.000000
40 66 100Gbps 1000ns 0.000000
41 66 100Gbps 1000ns 0.000000
42 66 100Gbps 1000ns 0.000000
43 66 100Gbps 1000ns 0.000000
44 66 100Gbps 1000ns 0.000000
45 66 100Gbps 1000ns 0.000000
46 66 100Gbps 1000ns 0.000000
47 66 100Gbps 1000ns 0.000000
48 67 100Gbps 1000ns 0.000000
49 67 100Gbps 1000ns 0.000000
50 67 100Gbps 1000ns 0.000000
51 67 100Gbps 1000ns 0.000000
52 67 100Gbps 1000ns 0.000000
53 67 100Gbps 1000ns 0.000000
54 67 100Gbps 1000ns 0.000000
55 67 100Gbps 1000ns 0.000000
56 67 100Gbps 1000ns 0.000000
57 67 100Gbps 1000ns 0.000000
58 67 100Gbps 1000ns 0.000000
59 67 100Gbps 1000ns 0.000000
60 67 100Gbps 1000ns 0.000000
61 67 100Gbps 1000ns 0.000000
62 67 100Gbps 1000ns 0.000000
63 67 100Gbps 1000ns 0.000000
64 65 100Gbps 1000ns 0.000000
65 66 100Gbps 1000ns 0.000000
66 67 100Gbps 1000ns 0.000000
67 64 100Gbps 1000ns 0.000000





First line: total node #, switch node #, link #
Second line: switch node IDs...
src0 dst0 rate delay error_rate
src1 dst1 rate delay error_rate
...
